balloon_id,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
10,"[-70.34137461458681, 21.549546554614633, 21.858662289440755]","[-71.1464645488493, 17.025784308714414, 20.446673290211518]","[-71.97413118764946, 10.920366125520614, 17.055402340693472]","[-72.60784215120177, 4.098856740948712, 12.541781831296294]","[-72.90115460039, -19.256226268252806, 2.194317915816974]","[-72.37523151789297, -27.154525428318134, 2.384882746732506]","[-71.53562848779366, -34.64940280201296, 4.712349244108006]","[-69.01810801052227, -47.77586453007941, 13.346792415504925]","[-67.40793594521766, -53.30726362490685, 17.73707416667317]","[-63.65076704092471, -62.47278777669, 21.999666694295502]","[nan, nan, nan]",,,,,,,,,,,,,
11,"[-67.22256939051545, -122.4026618003713, 5.959342232609485]","[-66.83892961732259, -123.79995942452311, 4.275285232418404]","[-66.34464986975841, -125.34536065654909, 2.8170857377916096]","[-65.8187186528349, -126.74860579730847, 2.0794159031495507]","[-64.04807353306406, -130.06211030634176, 4.4608132388647475]","[-63.3951508681261, -130.8681023827309, 6.577897374600996]","[-62.71089786681501, -131.52413420440914, 9.120876846166688]","[-61.251582321782514, -132.39844366149933, 14.66573716914226]","[-60.47797772779365, -132.62102535658178, 17.23416469871509]","[-58.844157941719416, -132.65012320691204, 20.969128534685236]","[-57.097101397562454, -132.15284463217787, 21.94607013228215]",,,,,,,,,,,,,
12,"[51.20753037141027, -11.734541663023046, 18.442934056719082]","[52.463470030964984, -11.613979506050045, 16.676471555928963]","[53.94694652957216, -11.4072320772378, 14.283706795549659]","[55.396435087838334, -11.131890856033058, 11.742545413281118]","[59.53238214223451, -9.812524602002933, 4.866437471724939]","[60.82850788646944, -9.185482913380769, 3.3236395048930376]","[62.08108849399243, -8.45095135496083, 2.346839706213242]","[64.43533786171153, -6.6348030132621245, 2.3063375672004423]","[65.53304965023587, -5.535027490469224, 3.245268320001351]","[67.5501038014265, -2.923161748268513, 6.738134651445578]","[69.31384715790915, 0.26727207421531574, 11.582776427796208]",,,,,,,,,,,,,
13,"[-12.194858001574426, 44.79602120590005, 3.04361153940358]","[-10.276554130971576, 47.883766465849355, 2.0048059791062407]","[-7.794320944876632, 51.58609224423347, 3.869694860469483]","[-5.127610927463586, 55.276839057001865, 8.486160615142698]","[3.8435779180357033, 66.36233920207182, 21.874157558738975]","[7.103782360333555, 70.10228313956289, 21.083490753375482]","[10.469590966723777, 73.8964674965149, 17.217200732768116]","[17.42410534411783, 81.74307673663047, 6.094718154566415]","[20.967573039092674, 85.8616917055633, 2.6015828789627857]","[28.035898603276348, 94.69197548049841, 5.265640685385494]","[34.848730846681086, 104.65310204912565, 16.276542310209866]",,,,,,,,,,,,,
14,"[-39.166145121013365, -18.573988840166965, 20.059774733716544]","[-39.520008555826045, -18.899453982485948, 20.835149132641916]","[-39.822116801851074, -19.34804650535269, 21.51642739703116]","[-39.985158495082764, -19.861050921485113, 21.90619304837995]","[-39.63644259676747, -21.760685805534074, 21.254781320881424]","[-39.229755069515974, -22.49564287376228, 20.452959186655406]","[-38.676647589476175, -23.27213409156497, 19.392075975435468]","[-37.1157219593793, -24.909589179335708, 16.63143532734338]","[-36.10695517414859, -25.752535471262203, 15.015453556420745]","[-33.625756728334295, -27.441535105907622, 11.55973058384121]","[-30.528599943428187, -29.07842314985143, 8.157050177727285]",,,,,,,,,,,,,
15,"[-61.97676517161992, 142.91470179671188, 5.310394393035709]","[-61.76467429826821, 142.39664587484893, 9.092095989910037]","[-61.498598410486515, 141.79557295377518, 14.28339566379676]","[-61.22082201430649, 141.22248986427533, 18.85762384290228]","[-60.3246713777361, 139.65356026828252, 19.242593705087835]","[-60.00719794505781, 139.17914797461256, 14.80851172460115]","[-59.68504328016046, 138.72469906137508, 9.615749364556002]","[-59.018327907850576, 137.88214265285984, 2.388050904787354]","[-58.67817349891767, 137.48913196982383, 2.3008862521800673]","[-57.983904564190524, 136.75209715324036, 9.291182691669249]","[-57.28004117062353, 136.0699816967944, 19.007117319500882]",,,,,,,,,,,,,
16,"[-3.3457477185188798, -163.3133137218252, 13.41309332867032]","[-4.528900873966718, -165.04439872254437, 16.639254094632065]","[-6.001634262126795, -167.14539787794956, 19.778747259361644]","[-7.527481829356498, -169.2737298986663, 21.63563221536001]","[-12.373520649093388, -175.8443610172837, 17.771497416222697]","[-14.05777239720015, -178.10260321193735, 14.05027763938982]","[-15.76690391428735, 179.59696891718292, 9.990148434578158]","[-19.223523645370882, 174.86162275826536, 3.479717396793422]","[-20.95806070591407, 172.4156611358434, 2.100782560426687]","[-24.397322295803885, 167.3508168959275, 4.195374322783595]","[-27.73791951215189, 162.01763369559902, 11.222707704073084]",,,,,,,,,,,,,
17,"[-43.06362643915972, -53.42276444471162, 3.8595907373562444]","[-43.332039285673844, -53.34266818304313, 6.5283816556531225]","[-43.742992635823455, -53.10427554324973, 10.68043054490429]","[-44.24740281645774, -52.70158951770106, 15.090175403954738]","[-46.27237426800652, -50.404438834987495, 21.965578237270165]","[-47.09158637607535, -49.22480684978156, 20.630604427457882]","[-47.9639848376512, -47.80891610558826, 17.602362425460875]","[-49.80481478097263, -44.17197736352909, 9.06071252827475]","[-50.731469806098424, -41.90292770840043, 5.220566160780277]","[-52.46798146516883, -36.352118870899744, 2.022550928631503]","[-53.82227952294202, -29.359885713884083, 6.267258609869714]",,,,,,,,,,,,,
18,"[-38.571095153580536, -131.7173244357169, 2.2019174704289686]","[-38.616884701201194, -130.84360921391504, 2.030912849271788]","[-38.66669644710869, -129.79459810128913, 2.8474627778393504]","[-38.713375676055705, -128.74544240105413, 4.687033921393864]","[-38.815297807687394, -125.59517083150841, 13.865220496947826]","[-38.83419329597148, -124.5461899778736, 16.999465702006603]","[-38.84458427927723, -123.49633764937634, 19.575466528299884]","[-38.83481840929139, -121.40317488604252, 21.992232373954614]","[-38.8142188138594, -120.35964899106992, 21.563380263838013]","[-38.73429246498501, -118.28005508086623, 17.665983757578005]","[-38.60051340004067, -116.21546622107766, 11.305021192233419]",,,,,,,,,,,,,
19,"[-15.015802364970545, -115.70112644839858, 18.74907265744423]","[-14.152940021248153, -115.54872784254874, 20.478410598959357]","[-13.182671329685558, -115.24757747191784, 21.72850934898768]","[-12.300907579881391, -114.8267825689956, 21.957979917490924]","[-10.343245901823861, -112.99148722186993, 16.8226086882437]","[-9.956783900402842, -112.2477548732133, 13.770399967332661]","[-9.715913320631529, -111.47122356483234, 10.531650416863101]","[-9.686057300172186, -109.90531186440414, 4.841232735126193]","[-9.89424092276617, -109.15841697381073, 2.9849922906907445]","[-10.721458488295294, -107.84780236586754, 2.205216821063164]","[-12.02606546210491, -106.90547499485604, 5.426814027797383]",,,,,,,,,,,,,
20,"[81.49487930037967, 32.9245249466325, 21.966962203896124]","[81.91590197657783, 31.470408753687167, 21.99032017556953]","[82.41772196922818, 29.57564234311447, 21.999997003369046]","[82.9183752217579, 27.488550929922287, 21.989632769633644]","[84.38765240008173, 19.610075245524385, 21.83871230504171]","[84.86160352685074, 16.210347919822123, 21.74880821747682]","[85.3245576901864, 12.246046994737323, 21.6393387237999]","[86.19578217276847, 1.9187472824135299, 21.362774101084174]","[86.58712338525771, -4.933482262737291, 21.19615656577747]","[87.20680263335548, -23.448404704406403, 20.808104331145405]","[87.47111945309204, -48.563430430704244, 20.349428779626123]",,,,,,,,,,,,,
21,"[-6.3344965987400075, 91.34757008375938, 7.389586434915292]","[-7.39976482787955, 91.52000812207245, 6.979499013463904]","[-8.639677505907772, 91.6921980005314, 6.501879013778151]","[-9.833966516080867, 91.8317472541311, 6.041727645216198]","[-13.127862372758775, 92.04976715893224, 4.7793747981428085]","[-14.12573496955836, 92.06119459916677, 4.402458085493986]","[-15.069981077498475, 92.04102190171596, 4.049399332458673]","[-16.795739457284082, 91.91793557331826, 3.419715227046657]","[-17.57382086414584, 91.8147407670709, 3.1449012080066048]","[-18.960783306363748, 91.53706639943015, 2.6799631143143525]","[-20.113818835695394, 91.16616116283686, 2.332424532053743]",,,,,,,,,,,,,
22,"[-38.72277549364067, -8.996595192400452, 18.856656141206596]","[-38.7785464800954, -9.370746465390356, 20.78604084604274]","[-38.84362550042566, -9.820175734699147, 21.931768059296076]","[-38.907033731884276, -10.272630315234418, 21.653563350680162]","[-39.08629894996316, -11.629608471188412, 13.633394493388682]","[-39.14248741565668, -12.083166423211289, 9.848939367955522]","[-39.196695775934494, -12.539077035743523, 6.3719012181766885]","[-39.297283478885426, -13.44980608273226, 2.2223356111137083]","[-39.3433197363815, -13.906113294331888, 2.1436720204762416]","[-39.42942170062707, -14.823204492983168, 6.03341812716879]","[-39.50605431621011, -15.74032027960576, 13.222191851242355]",,,,,,,,,,,,,
23,"[-53.830401991347344, -130.2603636737596, 3.082965754890644]","[-53.38006337106001, -130.35293912542429, 2.529459758742032]","[-52.835309560072645, -130.45226451160747, 2.1205339105106713]","[-52.28852019634904, -130.53376932611607, 2.0012761430908608]","[-50.635310099822135, -130.69837164109074, 3.3729996256070383]","[-50.081946079944466, -130.7271708896496, 4.361945087460013]","[-49.52505589317802, -130.74322197540306, 5.575086552185719]","[-48.40664532767893, -130.7428546245254, 8.524537147192259]","[-47.84502758047451, -130.72736536678775, 10.175188563495105]","[-46.71600955195186, -130.66859669086296, 13.586099778673649]","[-45.581792878318026, -130.5771926232962, 16.81286928596296]",,,,,,,,,,,,,
24,"[20.306760004681582, -96.38953819072732, 18.911459416866954]","[20.449143235432363, -96.17048654644725, 21.46820322096933]","[20.616144400292576, -95.91516195314938, 21.69234224949263]","[20.778754068355468, -95.66542152932243, 18.786872758849185]","[21.236967663503933, -94.94477658207366, 3.68075963158298]","[21.37674359946845, -94.71341571571918, 2.0007324700722755]","[21.507692699105483, -94.48787823197462, 3.5497428916831613]","[21.7390725904394, -94.0451129057884, 13.451257033048275]","[21.840023737182616, -93.82907015600878, 18.608319092555853]","[22.001654355781724, -93.40674920721752, 21.54331104833625]","[22.10801479949372, -92.99434144212587, 13.147461763096718]",,,,,,,,,,,,,
25,"[-41.362773305549474, -45.1177236438014, 4.931605414911289]","[-41.388780127335636, -43.38385324104021, 7.394686088898651]","[-41.45642951760728, -41.32946867312616, 10.894262076531]","[-41.565433237231765, -39.31237895929814, 14.5407473351578]","[-42.1367078634293, -33.49552950108789, 21.77878596843291]","[-42.41065452574094, -31.643405581653706, 21.877067584813435]","[-42.725086190959104, -29.837979640570644, 20.654465882122825]","[-43.47757697773322, -26.385688709421473, 15.056856853139944]","[-43.91203081283435, -24.73982666066758, 11.428961883080857]","[-44.8936011048972, -21.627707578723854, 4.878770736121272]","[-46.01193552388066, -18.767231765065166, 2.009155311007129]",,,,,,,,,,,,,
26,"[-45.13395231498024, -16.576858463589453, 15.962252697456838]","[-44.809165750652895, -17.801133694680804, 15.369117161371014]","[-44.428278824710894, -19.35259152102289, 14.639329379057044]","[-44.06126022558116, -20.991967698790067, 13.89429663920405]","[-43.01695712189835, -26.43599256912801, 11.610212791565061]","[-42.68844735822568, -28.41932482508142, 10.847518591643595]","[-42.36613733785643, -30.485225117352158, 10.09135998691768]","[-41.74119606713773, -34.8543745488435, 8.61733062579582]","[-41.436859457297956, -37.15397974539321, 7.907680753234428]","[-40.83931839926825, -41.9662470508224, 6.564635601778998]","[-40.24604899787772, -47.05128307089996, 5.348473911806833]",,,,,,,,,,,,,
27,"[-65.94511672107875, 175.73524781954404, 17.47126411233997]","[-66.18522684060483, 173.49204621441325, 15.650375429128927]","[-66.46065128793131, 170.94803213062568, 13.269696644075005]","[-66.72409747341331, 168.57171593376074, 10.813024048958383]","[-67.44822361086919, 162.49593617411423, 4.435156560576854]","[-67.67416483457953, 160.84168948452916, 3.0688992970476914]","[-67.89468273751562, 159.37661646345597, 2.2415153478505214]","[-68.32089693787395, 157.03778278300516, 2.3686086577757983]","[-68.5292898965503, 156.16938652894177, 3.3154468111022357]","[-68.94082332206038, 155.0451747757455, 6.6924156903153325]","[-69.34658543496471, 154.7540876821582, 11.332058021660103]",,,,,,,,,,,,,
28,"[31.79267247049337, -122.26202577681609, 21.820836057010506]","[31.1781846904737, -124.55013181350564, 21.516498446116046]","[30.324333205313415, -127.22590264390772, 18.10153015848633]","[29.350737572336815, -129.81937980689318, 12.540854099134844]","[25.813372934255607, -137.02431760834853, 2.164593256585894]","[24.460064010322323, -139.21875912213875, 4.917828705062555]","[23.034410685505968, -141.30983788107613, 10.163871274257463]","[20.00978766234554, -145.17493155503578, 20.51910775074851]","[18.4284287297792, -146.95772678646534, 21.986928386885317]","[15.181005660749788, -150.23171742105163, 15.101744400018838]","[11.86947265506313, -153.15121271088404, 4.235111122484139]",,,,,,,,,,,,,
29,"[66.19948875502998, -39.70657538246595, 2.1932437244358525]","[66.31641730574104, -40.90848763929306, 2.129735514641343]","[66.39383914880777, -42.38735931985175, 3.697002438126491]","[66.39455901013544, -43.88537001470145, 6.774241354769092]","[65.90878509603469, -48.23731240340582, 18.739760837863432]","[65.57592939656706, -49.545803073872165, 21.20498276628225]","[65.1618890906976, -50.73893816529704, 21.995952481599396]","[64.09832311290533, -52.67765058532494, 18.309613142889173]","[63.45948360522511, -53.38979466970524, 14.502092698407495]","[62.00423149193003, -54.2365092190335, 6.298770490753112]","[60.36336203819438, -54.2885818138412, 2.0545198508404123]",,,,,,,,,,,,,
30,"[-12.273248402635831, -7.865243392822619, 3.9957139429448976]","[-11.937226222387574, -7.927946239596491, 3.137390435553927]","[-11.5610080111686, -7.991272879530351, 2.4121589382505633]","[-11.215577110775833, -8.038142347979717, 2.0447844419177006]","[-10.361503084454654, -8.081585176413192, 3.1563442319071786]","[-10.137207123533287, -8.056439652169988, 4.218564861345351]","[-9.944866162333888, -8.011193107758055, 5.5714296441944615]","[-9.65691367319583, -7.8529542505280645, 8.936414937271458]","[-9.561018731376663, -7.7394416566173145, 10.82389871652037]","[-9.470093747213136, -7.4391511194083995, 14.657426022706076]","[-9.513245338753697, -7.040708525930118, 18.098608189206995]",,,,,,,,,,,,,
31,"[-31.578666625000768, -120.02439690780938, 13.609068410805092]","[-32.16940354609322, -121.04291249721928, 18.05183382400258]","[-32.797880583045924, -122.37921965017478, 21.445398481550015]","[-33.32668362281544, -123.82505725611263, 21.685586757791768]","[-34.240690412469405, -128.67693867387413, 7.750676818766097]","[-34.30051936130576, -130.40830075874837, 3.453279988126498]","[-34.238306450647435, -132.16751252619764, 2.0081261068304688]","[-33.74248656224393, -135.68635224198232, 8.492083614545832]","[-33.31684615924742, -137.41600246512118, 14.258135053468658]","[-32.14804244790877, -140.73404346338626, 21.854227377219143]","[-30.610971324049597, -143.80398678291405, 17.392324335214795]",,,,,,,,,,,,,
32,"[28.916097178548586, -125.23398083939288, 2.0668662172993937]","[29.44223438725959, -122.93465183368596, 3.6783819186831987]","[30.062873340406796, -120.068151146531, 7.9556970513019545]","[30.66997897900681, -117.09244336766723, 13.495625486261176]","[32.3862389820265, -107.52593769947002, 21.613501000417436]","[32.91400046876769, -104.13645740754264, 18.634219939066828]","[33.41595960669047, -100.65608787957743, 13.58078058626034]","[34.3316341041658, -93.43943030321245, 3.7273642753851437]","[34.74098034558208, -89.71399727472199, 2.0044810814135143]","[35.46026218962832, -82.06671593423223, 7.491021343257289]","[36.03687857850573, -74.1985001235535, 18.173342071212616]",,,,,,,,,,,,,
33,"[-14.072136598937552, 33.56688866859702, 21.508951480732165]","[-14.44403473146075, 33.54404033107461, 19.31151541972111]","[-14.840938068265977, 33.5491952501236, 14.922357661486906]","[-15.183454395116813, 33.59011982140094, 9.752023166335222]","[-15.877648858056437, 33.910068813276425, 2.254254697977709]","[-15.997505767597444, 34.08323031072155, 4.678214262484225]","[-16.06306248146071, 34.289074186351186, 9.063236831796557]","[-16.03205140087332, 34.79476202030607, 18.805609560431098]","[-15.936156159728116, 35.09560170629307, 21.5568341703746]","[-15.588082501618235, 35.7918513516406, 19.33203943482213]","[-15.040141216867807, 36.6099702834637, 9.781395163739392]",,,,,,,,,,,,,
34,"[-33.44263324469718, -11.565506678723212, 3.668510564637403]","[-33.11200477205469, -8.045043486495778, 7.302039818417679]","[-32.70234938545353, -3.873497774563242, 13.057355521104466]","[-32.28422531095886, 0.2300868547877849, 18.448000439893914]","[-30.966801783069936, 12.093774466340706, 18.100958619110397]","[-30.51095917283387, 15.879965945786886, 12.613150071543478]","[-30.04701882386498, 19.575656722472058, 6.913295916128276]","[-29.100089712944165, 26.669761500419494, 2.1160554768517112]","[-28.61895272907729, 30.060254512507235, 4.666044793840014]","[-27.64787162674906, 36.507575297457635, 15.58212567724781]","[-26.669455476354845, 42.48429052721039, 21.99893096544111]",,,,,,,,,,,,,
35,"[19.50675629166706, -44.98726302577494, 7.508327081028518]","[19.801130744956254, -45.736899775661, 7.036464889585689]","[20.14831133200566, -46.64676560230972, 6.489018164704756]","[20.49288744894581, -47.56620287614434, 5.964481411282151]","[21.510254612683834, -50.371432283814244, 4.548417628163548]","[21.847805224501442, -51.31724179544024, 4.135496985252607]","[22.184950148677196, -52.268993649530195, 3.754948156006032]","[22.85969046269416, -54.183296285824945, 3.0976335549205736]","[23.1999953958532, -55.14176342013603, 2.8234007025350785]","[23.88894630758179, -57.06363049663691, 2.3897446041415726]","[24.591403746021594, -58.98056127393166, 2.114622024995377]",,,,,,,,,,,,,
36,"[76.29410144998023, -4.132751180277926, 21.980535058875322]","[75.7066977497804, -4.520651983948788, 21.558818767308516]","[75.01662567679202, -5.142384025345505, 20.35856138650983]","[74.34428169022664, -5.910493574673175, 18.494129902834636]","[72.40127124993938, -8.90702771256896, 10.58574551645773]","[71.76963106379702, -10.088728607910632, 7.878801301854603]","[71.14318102360409, -11.340555056300614, 5.4988458012611]","[69.88608272445867, -14.01571157012124, 2.4387008974896176]","[69.25049964827625, -15.420742203581645, 2.001029102264594]","[67.9547024259443, -18.31306506167129, 3.4821332320361904]","[66.60105511798479, -21.261144620794724, 7.618395747124785]",,,,,,,,,,,,,
37,"[-18.115261456273576, 39.390489643257794, 9.393227157934593]","[-18.552081912978675, 38.09036250229299, 9.831785673426637]","[-19.092964652092977, 36.56625240460614, 10.363932889629101]","[-19.647188793131857, 35.088884141004904, 10.900737593612863]","[-21.3795400963586, 30.939681059228842, 12.524322134597558]","[-21.97604512518248, 29.65422899872309, 13.064508742383145]","[-22.5782580636727, 28.42363635463125, 13.601717915987994]","[-23.79867139063642, 26.12153219195517, 14.660163037265287]","[-24.411545784676267, 25.052659514237696, 15.178583144092165]","[-25.63855131996115, 23.085820152404377, 16.185636340594048]","[-26.858050319909644, 21.35335200689623, 17.14368918014365]",,,,,,,,,,,,,
38,"[-56.268040574451256, -63.48176813503907, 2.102195460894327]","[-56.635919471785535, -67.14426030648892, 2.263434620524933]","[-57.08502342216081, -71.6309882388119, 4.21108183760577]","[-57.53924951823252, -76.21216408769082, 7.693931913026121]","[-58.931068822381235, -90.49129647804374, 19.821786838017402]","[-59.399065439959905, -95.41409780447134, 21.74814297276408]","[-59.86788710996621, -100.41394700448977, 21.752501503036466]","[-60.80072041196808, -110.61134940112464, 16.371126220582553]","[-61.261635471382, -115.80198857748914, 12.045296176447785]","[-62.166762502643, -126.33272310812868, 4.22340644359453]","[-63.040228718875106, -137.02561433941767, 2.2317872876409783]",,,,,,,,,,,,,
39,"[12.144089081204571, -100.8989461797139, 4.943511508960834]","[11.896554260740537, -100.82819617363182, 8.153503342622045]","[11.600235482387681, -100.69983633479085, 12.714266742616259]","[11.30558589835106, -100.53139333162285, 17.12139480644237]","[10.41268709344199, -99.79584592207297, 21.339215556394652]","[10.110624419158116, -99.47901569579719, 18.73581567105231]","[9.801496266554192, -99.12875580802846, 14.693597161105213]","[9.164830876436234, -98.34437570365735, 5.871639668647994]","[8.830786067755003, -97.91316162754278, 2.9731872687807837]","[8.1264025894336, -96.98476461630071, 3.1651054947802315]","[7.362748852258698, -95.98604268939967, 10.498129885082678]",,,,,,,,,,,,,
40,"[54.39378458462753, -14.601606855094833, 14.68014985761007]","[54.2362419568504, -12.590370647842489, 16.04476700489289]","[54.11176622653728, -10.26693224482296, 17.568052139965864]","[54.055584516749605, -8.04496704052617, 18.922587921439586]","[54.25122018856692, -1.9961779661518124, 21.599719394216702]","[54.42111547257924, -0.18898626724882478, 21.93976438788522]","[54.63768033212613, 1.5107196363316504, 21.97932596911548]","[55.18002718762488, 4.586625256461989, 21.161322383835447]","[55.50013509433136, 5.961291150467329, 20.328268655136327]","[56.21313613807682, 8.387106764912515, 17.940109863746212]","[56.9987638466386, 10.382190982383674, 14.83870075649542]",,,,,,,,,,,,,
