balloon_id,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
10,"[-70.34137461458681, 21.549546554614633, 21.858662289440755, -281.36944580078125]","[-71.1464645488493, 17.025784308714414, 20.446673290211518, 859.1386108398438]","[-71.97413118764946, 10.920366125520614, 17.055402340693472, 2220.635009765625]","[-72.60784215120177, 4.098856740948712, 12.541781831296294, 2394.950927734375]","[-72.90115460039, -19.256226268252806, 2.194317915816974, -471.5307312011719]","[-72.37523151789297, -27.154525428318134, 2.384882746732506, -3841.237060546875]","[-71.53562848779366, -34.64940280201296, 4.712349244108006, -3791.815185546875]","[-69.01810801052227, -47.77586453007941, 13.346792415504925, -3495.353515625]","[-67.40793594521766, -53.30726362490685, 17.73707416667317, -2747.216796875]","[-63.65076704092471, -62.47278777669, 21.999666694295502, -442.2808532714844]","[nan, nan, nan]",,,,,,,,,,,,,
11,"[-67.22256939051545, -122.4026618003713, 5.959342232609485, -3839.069580078125]","[-66.83892961732259, -123.79995942452311, 4.275285232418404, -4376.587890625]","[-66.34464986975841, -125.34536065654909, 2.8170857377916096, -4471.47900390625]","[-65.8187186528349, -126.74860579730847, 2.0794159031495507, -4702.75732421875]","[-64.04807353306406, -130.06211030634176, 4.4608132388647475, -5017.84375]","[-63.3951508681261, -130.8681023827309, 6.577897374600996, -4759.82568359375]","[-62.71089786681501, -131.52413420440914, 9.120876846166688, -4804.9853515625]","[-61.251582321782514, -132.39844366149933, 14.66573716914226, -4624.29443359375]","[-60.47797772779365, -132.62102535658178, 17.23416469871509, -4358.23095703125]","[-58.844157941719416, -132.65012320691204, 20.969128534685236, -4107.99853515625]","[-57.097101397562454, -132.15284463217787, 21.94607013228215, -3533.539794921875]",,,,,,,,,,,,,
12,"[51.20753037141027, -11.734541663023046, 18.442934056719082, -1187.421630859375]","[52.463470030964984, -11.613979506050045, 16.676471555928963, -353.33685302734375]","[53.94694652957216, -11.4072320772378, 14.283706795549659, -270.5560302734375]","[55.396435087838334, -11.131890856033058, 11.742545413281118, -2627.652587890625]","[59.53238214223451, -9.812524602002933, 4.866437471724939, -1182.3736572265625]","[60.82850788646944, -9.185482913380769, 3.3236395048930376, -481.9977111816406]","[62.08108849399243, -8.45095135496083, 2.346839706213242, -308.0391540527344]","[64.43533786171153, -6.6348030132621245, 2.3063375672004423, -2697.12451171875]","[65.53304965023587, -5.535027490469224, 3.245268320001351, -3260.78515625]","[67.5501038014265, -2.923161748268513, 6.738134651445578, -3618.976806640625]","[69.31384715790915, 0.26727207421531574, 11.582776427796208, -3052.002685546875]",,,,,,,,,,,,,
13,"[-12.194858001574426, 44.79602120590005, 3.04361153940358, -2810.3681640625]","[-10.276554130971576, 47.883766465849355, 2.0048059791062407, -4144.314453125]","[-7.794320944876632, 51.58609224423347, 3.869694860469483, -4235.2373046875]","[-5.127610927463586, 55.276839057001865, 8.486160615142698, -457.4102478027344]","[3.8435779180357033, 66.36233920207182, 21.874157558738975, -3447.578857421875]","[7.103782360333555, 70.10228313956289, 21.083490753375482, -3744.950927734375]","[10.469590966723777, 73.8964674965149, 17.217200732768116, -2219.823486328125]","[17.42410534411783, 81.74307673663047, 6.094718154566415, 204.22496032714844]","[20.967573039092674, 85.8616917055633, 2.6015828789627857, 76.6328353881836]","[28.035898603276348, 94.69197548049841, 5.265640685385494, 1129.8388671875]","[34.848730846681086, 104.65310204912565, 16.276542310209866, 2165.63037109375]",,,,,,,,,,,,,
14,"[-39.166145121013365, -18.573988840166965, 20.059774733716544, -3121.64892578125]","[-39.520008555826045, -18.899453982485948, 20.835149132641916, -3358.25244140625]","[-39.822116801851074, -19.34804650535269, 21.51642739703116, -3449.97607421875]","[-39.985158495082764, -19.861050921485113, 21.90619304837995, -3564.043701171875]","[-39.63644259676747, -21.760685805534074, 21.254781320881424, -3735.02099609375]","[-39.229755069515974, -22.49564287376228, 20.452959186655406, -3759.39306640625]","[-38.676647589476175, -23.27213409156497, 19.392075975435468, -3704.076904296875]","[-37.1157219593793, -24.909589179335708, 16.63143532734338, -4056.72216796875]","[-36.10695517414859, -25.752535471262203, 15.015453556420745, -4056.131103515625]","[-33.625756728334295, -27.441535105907622, 11.55973058384121, -4316.4345703125]","[-30.528599943428187, -29.07842314985143, 8.157050177727285, -2999.182373046875]",,,,,,,,,,,,,
15,"[-61.97676517161992, 142.91470179671188, 5.310394393035709, -4215.97412109375]","[-61.76467429826821, 142.39664587484893, 9.092095989910037, -4280.89013671875]","[-61.498598410486515, 141.79557295377518, 14.28339566379676, -4325.1708984375]","[-61.22082201430649, 141.22248986427533, 18.85762384290228, -4324.68994140625]","[-60.3246713777361, 139.65356026828252, 19.242593705087835, -4428.650390625]","[-60.00719794505781, 139.17914797461256, 14.80851172460115, -4487.9306640625]","[-59.68504328016046, 138.72469906137508, 9.615749364556002, -4368.138671875]","[-59.018327907850576, 137.88214265285984, 2.388050904787354, -4315.0703125]","[-58.67817349891767, 137.48913196982383, 2.3008862521800673, -4330.62109375]","[-57.983904564190524, 136.75209715324036, 9.291182691669249, -4360.0673828125]","[-57.28004117062353, 136.0699816967944, 19.007117319500882, -3971.09814453125]",,,,,,,,,,,,,
16,"[-3.3457477185188798, -163.3133137218252, 13.41309332867032, -5086.9990234375]","[-4.528900873966718, -165.04439872254437, 16.639254094632065, -2474.500732421875]","[-6.001634262126795, -167.14539787794956, 19.778747259361644, -5178.9287109375]","[-7.527481829356498, -169.2737298986663, 21.63563221536001, -5239.60302734375]","[-12.373520649093388, -175.8443610172837, 17.771497416222697, -3968.992919921875]","[-14.05777239720015, -178.10260321193735, 14.05027763938982, -1564.6866455078125]","[-15.76690391428735, 179.59696891718292, 9.990148434578158, -1814.7076416015625]","[-19.223523645370882, 174.86162275826536, 3.479717396793422, -2983.140625]","[-20.95806070591407, 172.4156611358434, 2.100782560426687, -2466.8701171875]","[-24.397322295803885, 167.3508168959275, 4.195374322783595, -2106.576171875]","[-27.73791951215189, 162.01763369559902, 11.222707704073084, -1425.911376953125]",,,,,,,,,,,,,
17,"[-43.06362643915972, -53.42276444471162, 3.8595907373562444, -5663.36572265625]","[-43.332039285673844, -53.34266818304313, 6.5283816556531225, -5712.93994140625]","[-43.742992635823455, -53.10427554324973, 10.68043054490429, -5832.92626953125]","[-44.24740281645774, -52.70158951770106, 15.090175403954738, -5897.31689453125]","[-46.27237426800652, -50.404438834987495, 21.965578237270165, -5979.1240234375]","[-47.09158637607535, -49.22480684978156, 20.630604427457882, -6035.41064453125]","[-47.9639848376512, -47.80891610558826, 17.602362425460875, -6108.0185546875]","[-49.80481478097263, -44.17197736352909, 9.06071252827475, -3280.556640625]","[-50.731469806098424, -41.90292770840043, 5.220566160780277, -2049.274658203125]","[-52.46798146516883, -36.352118870899744, 2.022550928631503, -3590.70556640625]","[-53.82227952294202, -29.359885713884083, 6.267258609869714, -4541.8701171875]",,,,,,,,,,,,,
18,"[-38.571095153580536, -131.7173244357169, 2.2019174704289686, -4938.65673828125]","[-38.616884701201194, -130.84360921391504, 2.030912849271788, -4795.40087890625]","[-38.66669644710869, -129.79459810128913, 2.8474627778393504, -4872.46240234375]","[-38.713375676055705, -128.74544240105413, 4.687033921393864, -4683.76513671875]","[-38.815297807687394, -125.59517083150841, 13.865220496947826, -4159.87451171875]","[-38.83419329597148, -124.5461899778736, 16.999465702006603, -4038.76611328125]","[-38.84458427927723, -123.49633764937634, 19.575466528299884, -3842.259521484375]","[-38.83481840929139, -121.40317488604252, 21.992232373954614, -4226.74658203125]","[-38.8142188138594, -120.35964899106992, 21.563380263838013, -4055.95654296875]","[-38.73429246498501, -118.28005508086623, 17.665983757578005, -4127.80908203125]","[-38.60051340004067, -116.21546622107766, 11.305021192233419, -3718.86669921875]",,,,,,,,,,,,,
19,"[-15.015802364970545, -115.70112644839858, 18.74907265744423, -3361.33935546875]","[-14.152940021248153, -115.54872784254874, 20.478410598959357, -3198.655517578125]","[-13.182671329685558, -115.24757747191784, 21.72850934898768, -3198.733642578125]","[-12.300907579881391, -114.8267825689956, 21.957979917490924, -3284.503173828125]","[-10.343245901823861, -112.99148722186993, 16.8226086882437, -3393.36865234375]","[-9.956783900402842, -112.2477548732133, 13.770399967332661, -3443.34912109375]","[-9.715913320631529, -111.47122356483234, 10.531650416863101, -3288.97021484375]","[-9.686057300172186, -109.90531186440414, 4.841232735126193, -3088.41357421875]","[-9.89424092276617, -109.15841697381073, 2.9849922906907445, -3131.10693359375]","[-10.721458488295294, -107.84780236586754, 2.205216821063164, -3513.1025390625]","[-12.02606546210491, -106.90547499485604, 5.426814027797383, -3585.192626953125]",,,,,,,,,,,,,
20,"[81.49487930037967, 32.9245249466325, 21.966962203896124, -1187.87841796875]","[81.91590197657783, 31.470408753687167, 21.99032017556953, -2297.750244140625]","[82.41772196922818, 29.57564234311447, 21.999997003369046, -3549.287353515625]","[82.9183752217579, 27.488550929922287, 21.989632769633644, -3911.436279296875]","[84.38765240008173, 19.610075245524385, 21.83871230504171, -3966.185546875]","[84.86160352685074, 16.210347919822123, 21.74880821747682, -3690.782958984375]","[85.3245576901864, 12.246046994737323, 21.6393387237999, -3442.973876953125]","[86.19578217276847, 1.9187472824135299, 21.362774101084174, -4240.359375]","[86.58712338525771, -4.933482262737291, 21.19615656577747, -4160.1552734375]","[87.20680263335548, -23.448404704406403, 20.808104331145405, -4202.78271484375]","[87.47111945309204, -48.563430430704244, 20.349428779626123, -2593.90478515625]",,,,,,,,,,,,,
21,"[-6.3344965987400075, 91.34757008375938, 7.389586434915292, -5010.17529296875]","[-7.39976482787955, 91.52000812207245, 6.979499013463904, -5185.1943359375]","[-8.639677505907772, 91.6921980005314, 6.501879013778151, -4973.771484375]","[-9.833966516080867, 91.8317472541311, 6.041727645216198, -5490.05078125]","[-13.127862372758775, 92.04976715893224, 4.7793747981428085, -5374.7958984375]","[-14.12573496955836, 92.06119459916677, 4.402458085493986, -5279.392578125]","[-15.069981077498475, 92.04102190171596, 4.049399332458673, -5005.52978515625]","[-16.795739457284082, 91.91793557331826, 3.419715227046657, -5301.0751953125]","[-17.57382086414584, 91.8147407670709, 3.1449012080066048, -5400.07763671875]","[-18.960783306363748, 91.53706639943015, 2.6799631143143525, -4985.31640625]","[-20.113818835695394, 91.16616116283686, 2.332424532053743, -5025.69921875]",,,,,,,,,,,,,
22,"[-38.72277549364067, -8.996595192400452, 18.856656141206596, -3262.7783203125]","[-38.7785464800954, -9.370746465390356, 20.78604084604274, -3135.218017578125]","[-38.84362550042566, -9.820175734699147, 21.931768059296076, -2946.083984375]","[-38.907033731884276, -10.272630315234418, 21.653563350680162, -3018.873046875]","[-39.08629894996316, -11.629608471188412, 13.633394493388682, -3153.6533203125]","[-39.14248741565668, -12.083166423211289, 9.848939367955522, -3004.984130859375]","[-39.196695775934494, -12.539077035743523, 6.3719012181766885, -3014.544189453125]","[-39.297283478885426, -13.44980608273226, 2.2223356111137083, -3064.130126953125]","[-39.3433197363815, -13.906113294331888, 2.1436720204762416, -3117.153076171875]","[-39.42942170062707, -14.823204492983168, 6.03341812716879, -3065.172119140625]","[-39.50605431621011, -15.74032027960576, 13.222191851242355, -2488.353271484375]",,,,,,,,,,,,,
23,"[-53.830401991347344, -130.2603636737596, 3.082965754890644, -3926.265625]","[-53.38006337106001, -130.35293912542429, 2.529459758742032, -3905.641357421875]","[-52.835309560072645, -130.45226451160747, 2.1205339105106713, -3879.031494140625]","[-52.28852019634904, -130.53376932611607, 2.0012761430908608, -3894.706787109375]","[-50.635310099822135, -130.69837164109074, 3.3729996256070383, -4375.78369140625]","[-50.081946079944466, -130.7271708896496, 4.361945087460013, -4409.2822265625]","[-49.52505589317802, -130.74322197540306, 5.575086552185719, -4343.00732421875]","[-48.40664532767893, -130.7428546245254, 8.524537147192259, -4422.572265625]","[-47.84502758047451, -130.72736536678775, 10.175188563495105, -4527.02880859375]","[-46.71600955195186, -130.66859669086296, 13.586099778673649, -4576.8671875]","[-45.581792878318026, -130.5771926232962, 16.81286928596296, -4910.892578125]",,,,,,,,,,,,,
24,"[20.306760004681582, -96.38953819072732, 18.911459416866954, -1074.168701171875]","[20.449143235432363, -96.17048654644725, 21.46820322096933, -1526.1728515625]","[20.616144400292576, -95.91516195314938, 21.69234224949263, -1996.134033203125]","[20.778754068355468, -95.66542152932243, 18.786872758849185, -2340.41748046875]","[21.236967663503933, -94.94477658207366, 3.68075963158298, -3243.432373046875]","[21.37674359946845, -94.71341571571918, 2.0007324700722755, -3195.515625]","[21.507692699105483, -94.48787823197462, 3.5497428916831613, -3195.261962890625]","[21.7390725904394, -94.0451129057884, 13.451257033048275, -3308.169921875]","[21.840023737182616, -93.82907015600878, 18.608319092555853, -3351.17529296875]","[22.001654355781724, -93.40674920721752, 21.54331104833625, -3371.79150390625]","[22.10801479949372, -92.99434144212587, 13.147461763096718, -3289.688232421875]",,,,,,,,,,,,,
25,"[-41.362773305549474, -45.1177236438014, 4.931605414911289, -5097.35107421875]","[-41.388780127335636, -43.38385324104021, 7.394686088898651, -5167.56201171875]","[-41.45642951760728, -41.32946867312616, 10.894262076531, -5218.1103515625]","[-41.565433237231765, -39.31237895929814, 14.5407473351578, -5215.56640625]","[-42.1367078634293, -33.49552950108789, 21.77878596843291, -5353.45703125]","[-42.41065452574094, -31.643405581653706, 21.877067584813435, -5125.22314453125]","[-42.725086190959104, -29.837979640570644, 20.654465882122825, -4520.47802734375]","[-43.47757697773322, -26.385688709421473, 15.056856853139944, -4413.5205078125]","[-43.91203081283435, -24.73982666066758, 11.428961883080857, -4513.18115234375]","[-44.8936011048972, -21.627707578723854, 4.878770736121272, -4017.920654296875]","[-46.01193552388066, -18.767231765065166, 2.009155311007129, -3938.19189453125]",,,,,,,,,,,,,
26,"[-45.13395231498024, -16.576858463589453, 15.962252697456838, -3260.584228515625]","[-44.809165750652895, -17.801133694680804, 15.369117161371014, -3641.666015625]","[-44.428278824710894, -19.35259152102289, 14.639329379057044, -3613.076904296875]","[-44.06126022558116, -20.991967698790067, 13.89429663920405, -4145.296875]","[-43.01695712189835, -26.43599256912801, 11.610212791565061, -4548.38427734375]","[-42.68844735822568, -28.41932482508142, 10.847518591643595, -4533.1748046875]","[-42.36613733785643, -30.485225117352158, 10.09135998691768, -4625.63134765625]","[-41.74119606713773, -34.8543745488435, 8.61733062579582, -4979.6201171875]","[-41.436859457297956, -37.15397974539321, 7.907680753234428, -5245.64453125]","[-40.83931839926825, -41.9662470508224, 6.564635601778998, -5181.998046875]","[-40.24604899787772, -47.05128307089996, 5.348473911806833, -5208.8671875]",,,,,,,,,,,,,
27,"[-65.94511672107875, 175.73524781954404, 17.47126411233997, -3518.533203125]","[-66.18522684060483, 173.49204621441325, 15.650375429128927, -3358.900634765625]","[-66.46065128793131, 170.94803213062568, 13.269696644075005, -1840.433837890625]","[-66.72409747341331, 168.57171593376074, 10.813024048958383, -2727.851318359375]","[-67.44822361086919, 162.49593617411423, 4.435156560576854, -2591.146484375]","[-67.67416483457953, 160.84168948452916, 3.0688992970476914, -2442.357177734375]","[-67.89468273751562, 159.37661646345597, 2.2415153478505214, -2189.330810546875]","[-68.32089693787395, 157.03778278300516, 2.3686086577757983, -451.4776916503906]","[-68.5292898965503, 156.16938652894177, 3.3154468111022357, -229.07606506347656]","[-68.94082332206038, 155.0451747757455, 6.6924156903153325, 123.2185287475586]","[-69.34658543496471, 154.7540876821582, 11.332058021660103, 632.0596313476562]",,,,,,,,,,,,,
28,"[31.79267247049337, -122.26202577681609, 21.820836057010506, -3986.174072265625]","[31.1781846904737, -124.55013181350564, 21.516498446116046, -4156.4169921875]","[30.324333205313415, -127.22590264390772, 18.10153015848633, -4355.10498046875]","[29.350737572336815, -129.81937980689318, 12.540854099134844, -4635.19677734375]","[25.813372934255607, -137.02431760834853, 2.164593256585894, -4757.71533203125]","[24.460064010322323, -139.21875912213875, 4.917828705062555, -4879.98974609375]","[23.034410685505968, -141.30983788107613, 10.163871274257463, -5230.23486328125]","[20.00978766234554, -145.17493155503578, 20.51910775074851, -5490.23876953125]","[18.4284287297792, -146.95772678646534, 21.986928386885317, -5303.70166015625]","[15.181005660749788, -150.23171742105163, 15.101744400018838, -5405.5107421875]","[11.86947265506313, -153.15121271088404, 4.235111122484139, -5142.841796875]",,,,,,,,,,,,,
29,"[66.19948875502998, -39.70657538246595, 2.1932437244358525, 1668.607177734375]","[66.31641730574104, -40.90848763929306, 2.129735514641343, 1986.0806884765625]","[66.39383914880777, -42.38735931985175, 3.697002438126491, 2308.029052734375]","[66.39455901013544, -43.88537001470145, 6.774241354769092, 2454.66259765625]","[65.90878509603469, -48.23731240340582, 18.739760837863432, 1700.6436767578125]","[65.57592939656706, -49.545803073872165, 21.20498276628225, 1178.2950439453125]","[65.1618890906976, -50.73893816529704, 21.995952481599396, 647.1873168945312]","[64.09832311290533, -52.67765058532494, 18.309613142889173, -76.89260864257812]","[63.45948360522511, -53.38979466970524, 14.502092698407495, -1302.471435546875]","[62.00423149193003, -54.2365092190335, 6.298770490753112, -2772.8330078125]","[60.36336203819438, -54.2885818138412, 2.0545198508404123, -3167.38916015625]",,,,,,,,,,,,,
30,"[-12.273248402635831, -7.865243392822619, 3.9957139429448976, -3882.52490234375]","[-11.937226222387574, -7.927946239596491, 3.137390435553927, -3954.416748046875]","[-11.5610080111686, -7.991272879530351, 2.4121589382505633, -3979.2607421875]","[-11.215577110775833, -8.038142347979717, 2.0447844419177006, -3979.44677734375]","[-10.361503084454654, -8.081585176413192, 3.1563442319071786, -3921.20361328125]","[-10.137207123533287, -8.056439652169988, 4.218564861345351, -3907.26318359375]","[-9.944866162333888, -8.011193107758055, 5.5714296441944615, -3921.10107421875]","[-9.65691367319583, -7.8529542505280645, 8.936414937271458, -3983.9541015625]","[-9.561018731376663, -7.7394416566173145, 10.82389871652037, -4001.858154296875]","[-9.470093747213136, -7.4391511194083995, 14.657426022706076, -4017.72412109375]","[-9.513245338753697, -7.040708525930118, 18.098608189206995, -4028.209716796875]",,,,,,,,,,,,,
